round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
3,1.5511212567575996,0.340006786562606,0.06107926147236084,0.0037306761820090238,6.147918701171875,148.18885764391476,har,label_skew,fedprox
4,1.601643902206971,0.340006786562606,0.07389799754105994,0.005460914040578501,6.147918701171875,191.20582478764322,har,label_skew,fedprox
5,1.6473121631133343,0.34034611469290804,0.0734227683999355,0.005390902919510566,6.147918701171875,145.89076550810523,har,label_skew,fedprox
1,1.5798648576393426,0.34272141160502206,0.15659791700156364,0.024522907609228612,6.147918701171875,145.76032046980654,har,label_skew,fednova
2,1.4855160104407268,0.34238208347472004,0.12307080778921174,0.015146423729889103,6.147918701171875,166.17034732702783,har,label_skew,fednova
3,1.4813012482556076,0.34238208347472004,0.10091720071999671,0.010184281401160105,6.147918701171875,108.12631860037568,har,label_skew,fednova
4,1.5160523489810347,0.34272141160502206,0.09903957735554052,0.009808837882764095,6.147918701171875,150.76832161312467,har,label_skew,fednova
5,1.5737522531453738,0.34272141160502206,0.10213646613360815,0.010431857714261684,6.147918701171875,185.80464819096747,har,label_skew,fednova
1,0.5602017152823147,0.8825924669155073,0.23774531244879377,0.056522833591374576,6.147918701171875,165.87571901081228,har,quantity_skew,fedavg
2,0.2811263805735018,0.9070240922972514,0.04338874800042534,0.001882583453044414,6.147918701171875,183.56093951672804,har,quantity_skew,fedavg
3,0.22906889561924,0.9138106549032915,0.036396623292344506,0.0013247141870848344,6.147918701171875,137.80525847416527,har,quantity_skew,fedavg
4,0.1831449235662752,0.9267051238547676,0.028909479703803823,0.0008357580167446451,6.147918701171875,180.91795772404788,har,quantity_skew,fedavg
5,0.18175010479706039,0.9263657957244655,0.023611938856582554,0.000557523656566993,6.147918701171875,148.4605865272242,har,quantity_skew,fedavg
1,0.5749080012036373,0.845945028842891,0.13343639446945435,0.01780527136900783,6.147918701171875,156.21050758792333,har,quantity_skew,fedprox
2,0.3190535646921746,0.8815744825246012,0.05460460825622735,0.0029816632428160523,6.147918701171875,189.37025703913974,har,quantity_skew,fedprox
3,0.24428600800979894,0.9100780454699695,0.045525627278689224,0.0020725827391181325,6.147918701171875,188.1389684848055,har,quantity_skew,fedprox
4,0.1930341627341349,0.9246691550729556,0.03220721236160205,0.001037304528105332,6.147918701171875,125.63279467882937,har,quantity_skew,fedprox
5,0.1757185466013644,0.9314557176789956,0.028811605632775166,0.0008301086191385617,6.147918701171875,209.57176822583716,har,quantity_skew,fedprox
1,0.5973509580028393,0.8506956226671191,0.10268045307352523,0.010543275443384417,6.147918701171875,104.60421436492425,har,quantity_skew,fednova
2,0.3219833433284248,0.8707159823549372,0.06245437304848945,0.003900548712879885,6.147918701171875,209.8638194628715,har,quantity_skew,fednova
3,0.23952506844132562,0.9158466236851035,0.03544969945209508,0.00125668119124387,6.147918701171875,243.10216470560243,har,quantity_skew,fednova
4,0.20032429962106427,0.9165252799457075,0.023603544219570866,0.0005571272997252373,6.147918701171875,134.37305382656666,har,quantity_skew,fednova
5,0.17162460462902213,0.9362063115032236,0.021522488302443726,0.000463217502728827,6.147918701171875,181.99087216330312,har,quantity_skew,fednova
